"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"1277";"Menetetty maa";71359;"2008";"Finnkino Oy";2008-02-15;"NO COUNTRY FOR OLD MEN";"USA"
"1278";"National Treasure: Salaisuuksien kirja";127953;"2008";"The Walt Disney Company Nordic";2008-02-15;"National Treasure: The Book of Secrets";"USA"
"1279";"Risto Räppääjä";215880;"2008";"Nordisk Film Theatrical Distribution Oy";2008-02-15;"Risto Räppääjä";"SUOMI"
"1280";"Alvin ja pikkuoravat";64700;"2008";"FS Film Oy";2008-02-08;"Alvin and the Chipmunks";"USA"
"1281";"Charlie Wilsonin sota";14790;"2008";"Finnkino Oy";2008-02-08;"CHARLIE WILSON'S WAR";"USA"
"1282";"Dark Floors";16699;"2008";"Nordisk Film Theatrical Distribution Oy";2008-02-08;"Dark Floors";"SUOMI"
"1283";"Lust, Caution";12105;"2008";"Sandrew Metronome Dist.";2008-02-08;"Se jie";"USA-TAIWAN"
"1284";"Tyttö ja kettu";24574;"2008";"Cinema Mondo Oy";2008-02-08;"Le Renard et L'enfant";"RANSKA"
"1285";"Asterix Olympialaisissa";55407;"2008";"Sandrew Metronome Dist.";2008-02-01;"Asterix aux jeux Olympiques";"RANSKA"
"1286";"Juno";68016;"2008";"FS Film Oy";2008-02-01;"Juno";"USA"
"1287";"Kolmistaan";22036;"2008";"The Walt Disney Company Nordic";2008-02-01;"Kolmistaan";"SUOMI"
"1288";"Väärentäjä";4417;"2008";"Nordisk Film Theatrical Distribution Oy";2008-02-01;"Die Fälscher";"ITÄVALTA"
"1289";"American Gangster";49530;"2008";"Finnkino Oy";2008-01-25;"American Gangster";"USA"
"1290";"Perhonen lasikuvussa";11581;"2008";"Scanbox Finland Oy";2008-01-25;"Le Scaphandre et le papillon";"RANSKA-USA"
"1291";"8 päivää ensi-iltaan";47591;"2008";"FS Film Oy";2008-01-25;"8 päivää ensi-iltaan";"SUOMI"
"1292";"Cleaner";17483;"2008";"Scanbox Finland Oy";2008-01-18;"Cleaner";"USA"
"1293";"In the Valley of Elah";6693;"2008";"Sandrew Metronome Dist.";2008-01-18;"In the Valley of Elah";"USA"
"1294";"Mr Woodcock";5269;"2008";"FS Film Oy";2008-01-18;"Mr Woodcock";"USA"
"1295";"Aurinkomyrsky";3377;"2008";"Sandrew Metronome Dist.";2008-01-11;"Solstorm";"RUOTSI"
"1296";"Nanny Diaries";9254;"2008";"Scanbox Finland Oy";2008-01-11;"Nanny Diaries";"USA"
"1297";"Tummien perhosten koti";115506;"2008";"Nordisk Film Theatrical Distribution Oy";2008-01-05;"Tummien perhosten koti";"SUOMI"
"1298";"Alien vs. Predator 2";26646;"2008";"FS Film Oy";2008-01-04;"Alien vs. Predator 2";"USA"
"1299";"Elias ja kuninkaan laiva";12754;"2008";"FS Film Oy";2008-01-04;"Elias og kongeskipet";"NORJA"
"1300";"Gone Baby Gone";3569;"2008";"The Walt Disney Company Nordic";2008-01-04;"Gone Baby Gone";"USA"
"1301";"Jesse Jamesin salamurha...";7602;"2008";"Sandrew Metronome Dist.";2008-01-04;"The Assassination of Jesse James...";"USA"
"1302";"Cassandra's Dream";15887;"2007";"Scanbox Finland Oy";2007-12-28;"Cassandra's Dream";"USA-ENGLANTI"
"1303";"Orpokoti";47037;"2007";"Cinema Mondo Oy";2007-12-28;"El orfanato";"MEKSIKO-ESPANJA"
"1304";"Sooloilua";186808;"2007";"Nordisk Film Theatrical Distribution Oy";2007-12-28;"Sooloilua";"SUOMI"
"1305";"Mehiläisen elokuva";64789;"2007";"Finnkino Oy";2007-12-25;"Bee Movie";"USA"
"1306";"I Am Legend";84924;"2007";"Sandrew Metronome Dist.";2007-12-21;"I Am Legend";"USA"
"1307";"Klo 3:10 lähtö Yumaan";6424;"2007";"FS Film Oy";2007-12-21;"3:10 to Yuma";"USA"
"1308";"Lumottu";62252;"2007";"The Walt Disney Company Nordic";2007-12-21;"Enchanted";"USA"
"1309";"Hitman";26888;"2007";"FS Film Oy";2007-12-14;"Hitman";"USA"
"1310";"I'm Not There";5273;"2007";"Scanbox Finland Oy";2007-12-14;"I'm Not There";"USA-SAKSA"
"1311";"Röllin sydän";149715;"2007";"Nordisk Film Theatrical Distribution Oy";2007-12-14;"Röllin sydän";"SUOMI"
"1312";"We Own the Night";9862;"2007";"Sandrew Metronome Dist.";2007-12-14;"We Own the Night";"USA"
"1313";"Tali-Ihantala 1944";191573;"2007";"The Walt Disney Company Nordic";2007-12-07;"Tali-Ihantala 1944";"SUOMI"
"1314";"Kultainen kompassi";111544;"2007";"FS Film Oy";2007-12-05;"The Golden Compass";"USA-ENGLANTI"
"1315";"My Blueberry Nights";21548;"2007";"Cinema Mondo Oy";2007-11-30;"My Blueberry Nights";"HONG KONG-RANSKA-KIINA"
"1316";"Raja 1918";87161;"2007";"FS Film Oy";2007-11-30;"Raja 1918";"SUOMI"
"1317";"30 päivää kaamosta";5449;"2007";"Nordisk Film Theatrical Distribution Oy";2007-11-30;"30 Days of Night";"USA"
"1318";"Beowulf";28476;"2007";"Sandrew Metronome Dist.";2007-11-23;"Beowulf";"USA"
"1319";"Control";10619;"2007";"Future Film";2007-11-23;"Control";"ENGLANTI-USA"
"1320";"Michael Clayton";7958;"2007";"FS Film Oy";2007-11-23;"Michael Clayton";"USA"
"1321";"The Kingdom";11397;"2007";"Finnkino / United International Pictures";2007-11-23;"The Kingdom";"USA"
"1322";"Import Export";244;"2007";"Kinoscreen Illusion";2007-11-16;"Import-eksport";"NORJA"
"1323";"Jane Austenin jalanjäljillä";7143;"2007";"FS Film Oy";2007-11-16;"Becoming Jane";"ENGLANTI"
"1324";"Joulutarina";283327;"2007";"Sandrew Metronome Dist.";2007-11-16;"Joulutarina";"SUOMI"
"1325";"Voitte suudella sulhasta";5940;"2007";"Finnkino / United International Pictures";2007-11-16;"I Now Pronounce You Chuck and Larry";"USA"
"1326";"Elisabet - Kultainen aikakausi";16958;"2007";"Finnkino / United International Pictures";2007-11-09;"Elizabeth - The Golden Age";"ENGLANTI-RANSKA"
"1327";"Halloween";2865;"2007";"Nordisk Film Theatrical Distribution Oy";2007-11-09;"Halloween";"USA"
"1328";"Lions for Lambs";5728;"2007";"FS Film Oy";2007-11-09;"Lions for Lambs";"USA"
"1329";"Surf's Up - tyrskyn ratsastajat";7247;"2007";"The Walt Disney Company Nordic";2007-11-09;"Surf's Up";"USA"
"1330";"4 kuukautta, 3 viikkoa, 2 päivää";21559;"2007";"Cinema Mondo Oy";2007-11-09;"4 luni, 3 saptamani si 2 zile";"ROMANIA"
"1331";"Eastern Promises";21998;"2007";"FS Film Oy";2007-11-02;"Eastern Promises";"USA"
"1332";"Evening";2293;"2007";"Scanbox Finland Oy";2007-11-02;"Evening";"USA"
"1333";"Family Meeting";3498;"2007";"FS Film Oy";2007-11-02;"Family Meeting";"SUOMI"
"1334";"Resident Evil: Tuho";17124;"2007";"The Walt Disney Company Nordic";2007-11-02;"Resident Evil: Extinction";"ENGLANTI-USA"
"1335";"Sekaisin suhteessa";29223;"2007";"Finnkino / United International Pictures";2007-11-02;"The Heartbreak Kid";"USA"
"1336";"1408";29278;"2007";"Future Film";2007-11-02;"1408";"USA"
"1337";"Operaatio Rescue Dawn";1319;"2007";"Nordisk Film Theatrical Distribution Oy";2007-10-26;"Rescue Dawn";"USA"
"1338";"Saw IV";22005;"2007";"Scanbox Finland Oy";2007-10-26;"Saw IV";"USA"
"1339";"Sicko - aivan sairasta";4929;"2007";"FS Film Oy";2007-10-26;"Sicko";"USA"
"1340";"Superbad";9936;"2007";"The Walt Disney Company Nordic";2007-10-26;"Superbad";"USA"
"1341";"Musta jää";124127;"2007";"Sandrew Metronome Dist.";2007-10-19;"Musta jää";"SUOMI"
"1342";"Rottatuille";273585;"2007";"The Walt Disney Company Nordic";2007-10-19;"Ratatouille";"USA"
"1343";"Shoot 'Em Up";6813;"2007";"FS Film Oy";2007-10-19;"Shoot 'Em Up";"USA"
"1344";"Sinä elävä";11607;"2007";"Cinema Mondo Oy";2007-10-19;"Du levande";"RUOTSI-RANSKA"
"1345";"Georg Ots - Rakkaani";10596;"2007";"Nordisk Film Theatrical Distribution Oy";2007-10-12;"Georg";"VIRO-VENÄJÄ-SUOMI"
"1346";"Kimpassa";13022;"2007";"FS Film Oy";2007-10-12;"Ensemble, c'est tout";"RANSKA"
"1347";"Stranger in You";5265;"2007";"Sandrew Metronome Dist.";2007-10-12;"The Brave One";"USA-AUSTRALIA"
"1348";"Hairspray";22493;"2007";"FS Film Oy";2007-10-05;"Hairspray";"USA"
"1349";"Joe Strummer: The Future is Unwritten";727;"2007";"Sandrew Metronome Dist.";2007-10-05;"Joe Strummer: The Future is Unwritten";"ENGLANTI-IRLANTI"
"1350";"Persepolis";5712;"2007";"Sandrew Metronome Dist.";2007-10-05;"Persepolis";"USA-RANSKA"
"1351";"Tähtisumua";28888;"2007";"Finnkino / United International Pictures";2007-10-05;"Stardust";"USA-ENGLANTI"
"1352";"2 päivää Pariisissa";30245;"2007";"Cinema Mondo Oy";2007-10-05;"2 Days in Paris";"RANSKA-SAKSA"
"1353";"Ei sanaakaan";522;"2007";"Future Film";2007-09-28;"Ne le dis à personne";"RANSKA"
"1354";"Ganes";174416;"2007";"FS Film Oy";2007-09-28;"Ganes";"SUOMI"
"1355";"Hot Fuzz";2746;"2007";"Finnkino / United International Pictures";2007-09-28;"Hot Fuzz";"ENGLANTI"
"1356";"Maameren tarinat";19169;"2007";"Cinema Mondo Oy";2007-09-28;"Gedo Senki";"JAPANI"
"1357";"Sovitus";41932;"2007";"Finnkino / United International Pictures";2007-09-28;"Atonement";"ENGLANTI"
"1358";"Beatrix Potter - taiteilijaelämää";5480;"2007";"Nordisk Film Theatrical Distribution Oy";2007-09-21;"Miss Potter";"USA-ENGLANTI"
"1359";"Huisi hai";6245;"2007";"Scanbox Finland Oy";2007-09-21;"Shark Bait";"USA"
"1360";"Paksuna";43930;"2007";"Finnkino / United International Pictures";2007-09-21;"Knocked Up";"USA"
"1361";"Rush Hour 3";40124;"2007";"FS Film Oy";2007-09-21;"Rush Hour 3";"USA"
"1362";"Goal II: Living the Dream";319;"2007";"The Walt Disney Company Nordic";2007-09-14;"Goal II: Living the Dream";"ENGLANTI"
"1363";"Lieksa!";57091;"2007";"The Walt Disney Company Nordic";2007-09-14;"Lieksa!";"SUOMI"
"1364";"Mr. Brooks";5393;"2007";"FS Film Oy";2007-09-14;"Mr. Brooks";"USA"
"1365";"Paranoia";18573;"2007";"Finnkino / United International Pictures";2007-09-14;"Disturbia";"USA"
"1366";"Rakkauden resepti";5029;"2007";"Sandrew Metronome Dist.";2007-09-14;"No Reservations";"USA-AUSTRALIA"
"1367";"Colorado Avenue";57263;"2007";"Sandrew Metronome Dist.";2007-09-07;"Colorado Avenue";"SUOMI"
"1368";"Kultaisen kukan kirous";7175;"2007";"Nordisk Film Theatrical Distribution Oy";2007-09-07;"Man cheng jin dai huang jin jia";"HONGKONG-KIINA"
"1369";"28 viikkoa myöhemmin";9875;"2007";"FS Film Oy";2007-09-07;"28 Weeks Later";"ENGLANTI-ESPANJA"
"1370";"Fracture - murtumaton";11017;"2007";"FS Film Oy";2007-08-31;"Fracture";"USA"
"1371";"Irina Palm";4576;"2007";"Sandrew Metronome Dist.";2007-08-31;"Irina Palm";"BELGIA"
"1372";"Shrek kolmas";239898;"2007";"Finnkino / United International Pictures";2007-08-31;"Shrek the Third";"USA"
"1373";"Tuntematon nainen";2188;"2007";"Future Film";2007-08-31;"La Sconosciuta";"ITALIA"
"1374";"Arvoituksia arkussa";4712;"2007";"Scanbox Finland Oy";2007-08-24;"Death at a Funeral";"SAKSA-ENGLANTI-USA"
"1375";"Vedätys";6212;"2007";"Nordisk Film Theatrical Distribution Oy";2007-08-24;"The Hoax";"USA"
"1376";"Kultainen portti";3448;"2007";"Cinema Mondo Oy";2007-08-17;"Nuovo Mondo";"RANSKA-SAKSA-ITALIA"
"1377";"Liftari";1008;"2007";"Nordisk Film Theatrical Distribution Oy";2007-08-17;"The Hitcher";"USA"
"1378";"Medusan sinetti";96862;"2007";"Finnkino / United International Pictures";2007-08-17;"Bourne Ultimatum";"USA"
"1379";"Fantastic Fours: Hopesurffari";25077;"2007";"FS Film Oy";2007-08-10;"Fantastic Four: Rise of the Silver Surfer";"USA"
"1380";"Riemukas Robinsonin perhe";10091;"2007";"The Walt Disney Company Nordic";2007-08-10;"Meet the Robinsons";"USA"
"1381";"Evan tainvaanlahja";20667;"2007";"Finnkino / United International Pictures";2007-08-03;"Evan Almighty";"USA"
"1382";"Lady Chatterley";2778;"2007";"Future Film";2007-08-03;"Lady Chatterley";"BELGIA-RANSKA"
"1383";"Paha aavistus";5750;"2007";"Nordisk Film Theatrical Distribution Oy";2007-08-03;"Premonition";"USA"
"1384";"Silta salaiseen maahan";16295;"2007";"Scanbox Finland Oy";2007-08-03;"Bridge to Terabithia";"USA"
"1385";"The Simpsons Movie";412213;"2007";"FS Film Oy";2007-07-27;"The Simpsons Movie";"USA"
"1386";"Grindhouse: Planet Terror";12762;"2007";"FS Film Oy";2007-07-20;"Grindhouse: Planet Terror";"USA"
"1387";"Harry Potter ja Feeniksin kilta";362648;"2007";"Sandrew Metronome Dist.";2007-07-13;"Harry Potter and the Order of the Phoenix";"ENGLANTI-USA"
"1388";"Käärmeen merkki";953;"2007";"Future Film";2007-07-13;"Le Serpent";"RANSKA"
"1389";"Pahuuden sanansaattajat";1375;"2007";"Nordisk Film Theatrical Distribution Oy";2007-07-13;"The Messengers";"KANADA-USA"
"1390";"Hinnasta viis";23867;"2007";"Cinema Mondo Oy";2007-07-06;"Hors de prix";"RANSKA"
"1391";"Transformers";74689;"2007";"Finnkino / United International Pictures";2007-07-04;"Transformers";"USA"
"1392";"Die Hard 4.0";132094;"2007";"FS Film Oy";2007-06-26;"Die Hard 4.0";"USA"
"1393";"TMNT - teini-ikäiset mutanttininjakilpikonnat";7568;"2007";"Nordisk Film Theatrical Distribution Oy";2007-06-22;"TMNT";"USA"
"1394";"Hokkarihemmot";10829;"2007";"Finnkino / United International Pictures";2007-06-08;"Blades of Glory";"USA"
"1395";"Ocean's 13";121542;"2007";"Sandrew Metronome Dist.";2007-06-08;"Ocean's 13";"USA"
"1396";"Grindhouse: Death Proof";29243;"2007";"FS Film Oy";2007-06-01;"Grindhouse: Death Proof";"USA"
"1397";"Pirates of the Caribbean: Maailman laidalla";358225;"2007";"The Walt Disney Company Nordic";2007-05-22;"Pirates of the Caribbean: At World's End";"USA"
"1398";"Perfect Stranger - vaara verkossa";6858;"2007";"FS Film Oy";2007-05-18;"Perfect Stranger";"USA"
"1399";"Zodiac";20590;"2007";"Sandrew Metronome Dist.";2007-05-18;"Zodiac";"USA"
"1400";"Verisempi viikonloppu";2376;"2007";"Scanbox Finland Oy";2007-05-11;"Severance";"ENGLANTI-SAKSA"
"1401";"Spiderman 3 - Hämähäkkimies 3";126289;"2007";"The Walt Disney Company Nordic";2007-05-04;"Spiderman 3";"USA"
"1402";"Next";10344;"2007";"FS Film Oy";2007-04-27;"Next";"USA"
"1403";"Sekavia suhteita";11182;"2007";"FS Film Oy";2007-04-27;"Because I Said So";"USA"
"1404";"The Fountain";1275;"2007";"FS Film Oy";2007-04-27;"The Fountain";"USA"
"1405";"Alpha Dog";9824;"2007";"Scanbox Finland Oy";2007-04-20;"Alpha Dog";"USA"
"1406";"Häiden jälkeen";11773;"2007";"Bio Rex Cinemas";2007-04-20;"Efter Brylluppet";"TANSKA-RUOTSI"
"1407";"Shooter";18414;"2007";"Finnkino / United International Pictures";2007-04-20;"Shooter";"USA-KANADA"
"1408";"Inland Empire";10550;"2007";"Cinema Mondo Oy";2007-04-13;"Inland Empire";"USA-RANSKA"
"1409";"Sunshine";15326;"2007";"FS Film Oy";2007-04-13;"Sunshine";"ENGLANTI"
"1410";"Epic Movie";24921;"2007";"FS Film Oy";2007-04-06;"Epic Movie";"USA"
"1411";"Goyan aaveet";3491;"2007";"Nordisk Film Theatrical Distribution Oy";2007-04-06;"Goya's Ghosts";"ESPANJA"
"1412";"Keksijäkylän Lotta";12206;"2007";"FS Film Oy";2007-04-06;"Leiutajateküla Lotte";"VIRO-LATVIA"
"1413";"Muutama päivä syyskuussa";308;"2007";"Future Film";2007-04-06;"Quelques jours en septembre";"RANSKA"
"1414";"300";80143;"2007";"Sandrew Metronome Dist.";2007-04-06;"300";"USA"
"1415";"Kikin lähettipalvelu";0;"2007";"Cinema Mondo Oy";2007-03-30;"Majo no takkyubin";"JAPANI"
"1416";"Kikin lähettipalvelu";30129;"2007";"Cinema Mondo Oy";2007-03-30;"Majo no takkyûbin";"JAPANI"
"1417";"Mr. Bean lomailee";309286;"2007";"Finnkino / United International Pictures";2007-03-30;"Mr. Bean's Holiday";"ENGLANTI"
"1418";"Pariisin varpunen - Edith Piaf";48072;"2007";"Sandrew Metronome Dist.";2007-03-30;"La Mome";"RANSKA-ENGLANTI"
"1419";"Kirjava huntu";33806;"2007";"Nordisk Film Theatrical Distribution Oy";2007-03-23;"The Painted Veil";"KIINA-USA"
"1420";"Numero 23";31193;"2007";"FS Film Oy";2007-03-23;"Number 23";"USA"
"1421";"Sävel ja sanat";39847;"2007";"Sandrew Metronome Dist.";2007-03-23;"Music and Lyrics";"USA"
"1422";"Wild Hogs - villit karjut";17418;"2007";"The Walt Disney Company Nordic";2007-03-23;"Wild Hogs";"USA"
"1423";"Fur";904;"2007";"FS Film Oy";2007-03-16;"Fur: An Imaginary Portrait of Diane Arbus";"USA"
"1424";"Göta kanal 2";5095;"2007";"FS Film Oy";2007-03-16;"Göta kanal 2 - kanalkampen";"RUOTSI"
"1425";"Hollywoodland";951;"2007";"The Walt Disney Company Nordic";2007-03-16;"Hollywoodland";"USA"
"1426";"Tideland";3521;"2007";"Cinema Mondo Oy";2007-03-16;"Tideland";"ENGLANTI"
"1427";"Uusi ihminen";20167;"2007";"Sandrew Metronome Dist.";2007-03-16;"Den Nya människan";"RUOTSI-SUOMI"
"1428";"Aavan meren tällä puolen";10108;"2007";"FS Film Oy";2007-03-09;"Kid Svensk";"RUOTSI-SUOMI"
"1429";"Martinin unelma";5628;"2007";"Kinoscreen Illusion";2007-03-09;"Drømmen";"TANSKA"
"1430";"Norbit";22441;"2007";"Finnkino / United International Pictures";2007-03-09;"Norbit";"USA"
"1431";"Arthur ja minimoit";25832;"2007";"Scanbox Finland Oy";2007-03-02;"Arthur et les minimoys";"RANSKA"
"1432";"Little Children";2889;"2007";"FS Film Oy";2007-03-02;"Little Children";"USA"
"1433";"Millennium Actress";710;"2007";"Bio Rex Cinemas";2007-03-02;"Sennen joyû";"JAPANI"
"1434";"Smokin' Aces";11012;"2007";"Finnkino / United International Pictures";2007-03-02;"Smokin' Aces";"USA-ENGLANTI-RANSKA"
"1435";"Yhden tähden hotelli";6375;"2007";"Sandrew Metronome Dist.";2007-03-02;"Yhden tähden hotelli";"SUOMI"
"1436";"Black Sheep";6011;"2007";"Future Film";2007-02-27;"Black Sheep";"UUSI SEELANTI"
"1437";"Dreamgirls";27464;"2007";"Finnkino / United International Pictures";2007-02-23;"Dreamgirls";"USA"
"1438";"Ghost Rider - Aaveajaja";54138;"2007";"The Walt Disney Company Nordic";2007-02-23;"Ghost Rider";"USA"
"1439";"Miehen työ";48889;"2007";"Sandrew Metronome Dist.";2007-02-23;"Miehen työ";"SUOMI"
"1440";"Paljastavat merkinnät";8653;"2007";"FS Film Oy";2007-02-23;"Notes on a Scandal";"ENGLANTI"
"1441";"The Good Shepherd";14358;"2007";"Nordisk Film Theatrical Distribution Oy";2007-02-23;"The Good Shepherd";"USA"
"1442";"Kirjeitä Iwo Jimalta";6535;"2007";"Sandrew Metronome Dist.";2007-02-16;"Letter from Iwo Jima";"USA"
"1443";"Lotta ystäväni";37598;"2007";"Finnkino / United International Pictures";2007-02-16;"Charlotte's Web";"USA"
"1444";"Murto ja varkaus";5470;"2007";"The Walt Disney Company Nordic";2007-02-16;"Breaking and Entering";"USA-ENGLANTI"
"1445";"Night at the Museum - yö museossa";128364;"2007";"FS Film Oy";2007-02-16;"Night at the Museum";"USA"
"1446";"Nuori Hannibal";18815;"2007";"Nordisk Film Theatrical Distribution Oy";2007-02-16;"Hannibal Rising";"ENGLANTI-USA"
"1447";"Blood Diamond - Veritimantti";23723;"2007";"Sandrew Metronome Dist.";2007-02-09;"Blood Diamond";"USA"
"1448";"Kohti etelää";3202;"2007";"Cinema Mondo Oy";2007-02-09;"Vers le sud";"KANADA-RANSKA"
"1449";"Onnen potkuja";5948;"2007";"The Walt Disney Company Nordic";2007-02-09;"The Pursuit of Happyness";"USA"
"1450";"Uhka";5588;"2007";"Future Film";2007-02-09;"Ils";"RANSKA"
"1451";"Bobby";2649;"2007";"Scanbox Finland Oy";2007-02-02;"Bobby";"USA"
"1452";"Last King of Scotland";19797;"2007";"FS Film Oy";2007-02-02;"Last King of Scotland";"ENGLANTI"
"1453";"Ruma ankanpoikanen ja Minä";9598;"2007";"Nordisk Film Theatrical Distribution Oy";2007-02-02;"The Ugly Duckling and Me";"TANSKA-ENGLANTI-SAKSA"
"1454";"Suden vuosi";58017;"2007";"Nordisk Film Theatrical Distribution Oy";2007-02-02;"Suden vuosi";"SUOMI"
"1455";"Apocalypto";24504;"2007";"Scanbox Finland Oy";2007-01-26;"Apocalypto";"USA"
"1456";"The Queen";112967;"2007";"Sandrew Metronome Dist.";2007-01-26;"The Queen";"ENGLANTI-ITALIA-RANS"
"1457";"Charlie sanoo";1143;"2007";"Cinema Mondo Oy";2007-01-19;"Selon Charlie";"RANSKA"
"1458";"Parfyymi - erään murhaajan tarina";20967;"2007";"Nordisk Film Theatrical Distribution Oy";2007-01-19;"Perfume: The Story of a Murderer";"ESPANJA-RANSKA"
"1459";"Tallipihan bilehileet";40186;"2007";"Finnkino / United International Pictures";2007-01-19;"Barnyard";"USA"
"1460";"Hetki lyö";2335;"2007";"Cinema Mondo Oy";2007-01-12;"Shi gan";"KOREA"
"1461";"V2 Jäätynyt enkeli";193674;"2007";"The Walt Disney Company Nordic";2007-01-12;"V2 Jäätynyt enkeli";"SUOMI"
"1462";"Ihmisen pojat";8902;"2007";"Nordisk Film Theatrical Distribution Oy";2007-01-05;"Children of Men";"USA-ENGLANTI"
"1463";"Rocky Balboa";41509;"2007";"FS Film Oy";2007-01-05;"Rocky Balboa";"USA"
"1464";"The Prestige";11287;"2007";"Sandrew Metronome Dist.";2007-01-05;"The Prestige";"USA-ENGLANTI"
"1465";"The Science of Sleep";2548;"2007";"FS Film Oy";2007-01-05;"La Science des rêves";"RANSKA-ITALIA"
"1466";"Musta Dahlia";18647;"2006";"Scanbox Finland Oy";2006-12-29;"The Black Dahlia";"SAKSAN -USA"
"1467";"Aidosti outoa";11934;"2006";"Nordisk Film Theatrical Distribution Oy";2006-12-22;"Stranger Than Fiction";"USA"
"1468";"Déjà vu";51620;"2006";"The Walt Disney Company Nordic";2006-12-22;"Déjà vu";"USA"
"1469";"Holiday";91247;"2006";"Finnkino / United International Pictures";2006-12-22;"The Holiday";"USA"
"1470";"Pan's Labyrinth";50709;"2006";"Cinema Mondo Oy";2006-12-22;"El Laberinto del Fauno";"USA-ESPANJA-MEKSIKO"
"1471";"Rock´n Roll Never Dies";9859;"2006";"FS Film Oy";2006-12-22;"Rock´n Roll Never Dies";"SUOMI"
"1472";"Silmänkääntäjä";13715;"2006";"Nordisk Film Theatrical Distribution Oy";2006-12-22;"The Illusionist";"TSEKKI-USA"
"1473";"Eragon";78936;"2006";"FS Film Oy";2006-12-15;"Eragon";"USA"
"1474";"Suden arvoitus";106174;"2006";"Nordisk Film Theatrical Distribution Oy";2006-12-15;"Suden arvoitus";"SUOMI"
"1475";"Happy Feet";53268;"2006";"Sandrew Metronome Dist.";2006-12-08;"Happy Feet";"AUSTRALIA-USA"
"1476";"Sano että rakastat mua";7436;"2006";"Future Film";2006-12-08;"Säg att du älskar mig";"RUOTSI"
"1477";"Tenacious D: maailman paras rokkibändi";10607;"2006";"FS Film Oy";2006-12-08;"Tenacious D: The Pick of Destiny";"USA"
"1478";"Isiemme liput";3973;"2006";"Sandrew Metronome Dist.";2006-12-01;"Flags of Our Fathers";"USA"
"1479";"Matkalla Beetlehemiin";7894;"2006";"FS Film Oy";2006-12-01;"The Nativity Story";"USA"
"1480";"Pianistin sivunkääntäjä";27120;"2006";"Cinema Mondo Oy";2006-12-01;"LaTourneuse de pages";"RANSKA"
"1481";"Virran viemaa";59965;"2006";"Finnkino / United International Pictures";2006-12-01;"Flushed Away";"USA-ENGLANTI"
"1482";"Casino Royale";501246;"2006";"Nordisk Film Theatrical Distribution Oy";2006-11-24;"Casino Royale";"ENGLANTI-USA"
"1483";"Colour Me Kubrick";1252;"2006";"Nordisk Film Theatrical Distribution Oy";2006-11-24;"Colour Me Kubrick: A True...ish Story";"RANSKA-ENGLANTI"
"1484";"Little Miss Sunshine";22661;"2006";"FS Film Oy";2006-11-24;"Little Miss Sunshine";"USA"
"1485";"Saw III";19704;"2006";"Scanbox Finland Oy";2006-11-24;"Saw III";"USA"
"1486";"Shortbus";1859;"2006";"Future Film";2006-11-24;"Shortbus";"USA"
